Step,Action,CPU,Swap,Load,RAM,IOwait,Latency,Reward
154,2,0.005932494066655636,0.0,0.5855672359466553,0.20028655230998993,0.0,0.0,0.9914432764053345
155,2,0.017694799229502678,0.0,0.5893675684928894,0.2190559208393097,0.0,0.0,0.9910632371902466
156,2,0.008571003563702106,0.0,0.6140385270118713,0.21953488886356354,0.02442272938787937,0.0,0.9885961413383484
157,2,0.034333061426877975,0.0,0.5945764780044556,0.18531569838523865,0.018146688118577003,0.04132900759577751,0.9905423521995544
158,2,0.0060296012088656425,0.0,0.5836309194564819,0.22085033357143402,0.011571696028113365,0.050893135368824005,0.9916369318962097
159,2,0.0,0.014296279288828373,0.5566228032112122,0.27231982350349426,0.004702599253505468,0.01927867718040943,0.9929081201553345
160,2,0.0,0.010908774100244045,0.5717275142669678,0.26695266366004944,0.0,0.05243993550539017,0.9917363524436951
161,2,0.0,0.023872802034020424,0.6219576001167297,0.22849582135677338,0.0,0.10941162705421448,0.9844757914543152
162,2,0.0,0.05740730091929436,0.6248816251754761,0.2316989004611969,0.03300723060965538,0.10863754898309708,0.9809073805809021
163,2,0.0,0.028110027313232422,0.6610820293426514,0.2682769298553467,0.0016950187273323536,0.15076033771038055,0.9760047793388367
164,3,0.0015887595945969224,0.03636719658970833,0.6286837458610535,0.26919320225715637,0.013145241886377335,0.05888684093952179,0.9834948778152466
165,2,0.0,0.007175300270318985,0.6374295353889465,0.27468734979629517,0.005758346524089575,0.03574906289577484,0.9855394959449768
166,2,0.013051631860435009,0.053197912871837616,0.6457180380821228,0.23317468166351318,0.0,0.022065751254558563,0.980108380317688
167,4,0.0,0.0,0.6248636841773987,0.23483234643936157,0.02040119841694832,0.008991416543722153,0.9875136613845825
168,2,0.0,0.03778011351823807,0.6239505410194397,0.20940136909484863,0.011432967148721218,0.0,0.9838269352912903
169,4,0.03589191660284996,0.0,0.6306233406066895,0.22838935256004333,0.03854823112487793,0.0,0.9869376420974731
170,2,0.044230807572603226,0.008219827897846699,0.6246837377548218,0.16227638721466064,0.016881288960576057,0.0,0.9867096543312073
171,2,0.0038466518744826317,0.005430595017969608,0.6001056432723999,0.16079919040203094,0.0,0.0,0.9894464015960693
172,2,0.0,0.022829048335552216,0.6115797758102417,0.12600703537464142,0.0,0.0036966432817280293,0.9865590929985046
173,2,0.00013372361718211323,0.0502353198826313,0.6161129474639893,0.08085083961486816,0.032287102192640305,0.02512911520898342,0.9833651781082153
174,2,0.0,0.03989340364933014,0.6228846311569214,0.10298091173171997,0.0,0.002818944165483117,0.9837222099304199
175,2,0.014606007374823093,0.011172370053827763,0.6116912364959717,0.10418625921010971,0.018617484718561172,0.0,0.987713634967804
176,2,0.022418083623051643,0.003297016490250826,0.6077530384063721,0.08474425226449966,0.0,0.013033523224294186,0.9888949990272522
177,2,0.0359843373298645,0.023435493931174278,0.6218089461326599,0.06528981775045395,0.0222104974091053,0.03837517276406288,0.9854755401611328
178,2,0.009995040483772755,0.02235833927989006,0.6508580446243286,0.10144738107919693,0.008908163756132126,0.021616773679852486,0.9826783537864685
179,2,0.018405979499220848,0.0,0.6413772702217102,0.07421771436929703,0.028168732300400734,0.0,0.9858622550964355
180,2,0.05189042165875435,0.020450660958886147,0.6449087262153625,0.07078138738870621,0.0445597879588604,0.0015228093834593892,0.9834640622138977
181,2,0.03874945640563965,0.03659822791814804,0.6427621245384216,0.09603047370910645,0.0,0.029690656810998917,0.9820639491081238
182,2,0.03495036065578461,0.013954570516943932,0.6627910137176514,0.04361291602253914,0.01072640810161829,0.03353990986943245,0.9823254346847534
183,3,0.04866131395101547,0.0,0.6449506282806396,0.04037803038954735,0.0,0.007373954635113478,0.9855049252510071
184,2,0.055332448333501816,0.01836583763360977,0.6778855919837952,0.039584074169397354,0.0,0.013443638570606709,0.9803748726844788
185,2,0.027789441868662834,0.03739672154188156,0.6966085433959961,0.04383615776896477,0.021824294701218605,0.0480780303478241,0.9765994548797607
186,3,0.03370293974876404,0.03154899552464485,0.6613170504570007,0.04320826381444931,0.04658030718564987,0.0,0.9807133674621582
187,2,0.021082784980535507,0.04363401606678963,0.6487921476364136,0.024834753945469856,0.014047512784600258,0.039933349937200546,0.9807573556900024
188,2,0.012412960641086102,0.007867667824029922,0.7092804908752441,0.04481485113501549,0.03545140102505684,0.06088137626647949,0.9782851934432983
189,3,0.0,0.0,0.7171453833580017,0.02486591972410679,0.016377907246351242,0.0,0.9782854318618774
190,3,0.0,0.005208613350987434,0.6878061294555664,0.05723123252391815,0.032023124396800995,0.0,0.9806985259056091
191,2,0.0,0.031032444909214973,0.6812887191772461,0.06146732345223427,0.02262716554105282,0.0,0.9787678718566895
192,2,0.021055174991488457,0.055965106934309006,0.6732560396194458,0.10252729058265686,0.0,0.013915283605456352,0.9770779013633728
193,2,0.06481172889471054,0.05805513635277748,0.6302674412727356,0.09073509275913239,0.025348832830786705,0.01719353348016739,0.981167733669281
194,4,0.05158979818224907,0.007663743104785681,0.6462475061416626,0.06854993849992752,0.03038952685892582,0.0010013817809522152,0.9846088886260986
195,2,0.02950263023376465,0.0,0.6499298214912415,0.07895948737859726,0.0002824595139827579,0.007249577436596155,0.9850070476531982
196,2,0.04440922290086746,0.05100403353571892,0.6617775559425354,0.10264135897159576,0.0,0.013756132684648037,0.9787218570709229
197,2,0.07253171503543854,0.024494308978319168,0.6631712317466736,0.09122820198535919,0.0,0.005155411548912525,0.9812334179878235
198,2,0.05382036045193672,0.018889930099248886,0.6630117297172546,0.06927607953548431,0.0,0.0,0.9818098545074463
199,2,0.04794443026185036,0.0,0.6654780507087708,0.08247776329517365,0.0,0.0,0.9834522008895874
200,2,0.024635784327983856,0.0,0.6689988374710083,0.060978230088949203,0.0,0.0,0.9831001162528992
201,2,0.0036621519830077887,0.0,0.6837518811225891,0.05491518974304199,0.0,0.0,0.9816248416900635
202,2,0.021218955516815186,0.0,0.6758891344070435,0.040298622101545334,0.015489098615944386,0.0,0.9824110865592957
203,2,0.010780276730656624,0.0,0.7041451930999756,0.0758785605430603,0.0,0.0,0.9795854687690735
204,2,0.011619548313319683,0.0019352496601641178,0.683401882648468,0.10600772500038147,0.0,0.004544609226286411,0.9814662933349609
205,2,0.018534479662775993,0.0,0.6567449569702148,0.12752120196819305,0.0,0.005326226819306612,0.9843255281448364
206,2,0.0305617842823267,0.0,0.6714158654212952,0.13153573870658875,0.0,0.022654345259070396,0.982858419418335
207,2,0.045026734471321106,0.0,0.6659018397331238,0.1285434514284134,0.004487177357077599,0.01906426064670086,0.9834098219871521
208,2,0.012656033970415592,0.0,0.6540809273719788,0.13827551901340485,0.0,0.03901120647788048,0.9845919013023376
209,2,0.029429173097014427,0.01096866000443697,0.6504597067832947,0.11790912598371506,0.017122486606240273,0.05473167076706886,0.9838571548461914
210,2,0.005343029275536537,0.0,0.631730318069458,0.12198703736066818,0.0,0.04241650551557541,0.9868269562721252
211,3,0.0,0.03349708765745163,0.6311880946159363,0.11576671153306961,0.005565074738115072,0.0016408292576670647,0.9835314750671387
212,2,0.035803984850645065,0.019443325698375702,0.6220282316207886,0.09538902342319489,0.006190857384353876,0.02435232512652874,0.985852837562561
213,2,0.01695486344397068,0.019067423418164253,0.6478258371353149,0.08447837084531784,0.0,0.007204441353678703,0.9833106994628906
214,2,0.02133544161915779,0.028464198112487793,0.6368373036384583,0.07989396899938583,0.0,0.037259940057992935,0.9834698438644409
215,2,0.01683497615158558,0.06354165077209473,0.6331309676170349,0.09686396270990372,0.001865047961473465,0.03477579727768898,0.9803327322006226
216,2,0.0,0.055464696139097214,0.6535555720329285,0.057746730744838715,0.0,0.04933150112628937,0.9790979623794556
217,2,0.0,0.06075922027230263,0.6855369210243225,0.07167568802833557,0.010857600718736649,0.04060706868767738,0.9753704071044922
218,2,0.0153500409796834,0.05308729410171509,0.7157283425331116,0.061861008405685425,0.011113624088466167,0.05708186328411102,0.9731184244155884
219,2,0.0006332831690087914,0.056180890649557114,0.7169064879417419,0.08173598349094391,0.0,0.06106410548090935,0.9726912379264832
220,2,0.003299160161986947,0.0365511029958725,0.7372749447822571,0.04876774176955223,0.0,0.07554662227630615,0.9726173877716064
221,3,0.0012771501205861568,0.06735896319150925,0.7589350938796997,0.06889425218105316,0.024793967604637146,0.0,0.9673705697059631
222,2,0.0,0.0833343118429184,0.7591026425361633,0.04674632102251053,0.01918690651655197,0.009066145867109299,0.9657562971115112
223,2,0.0,0.11167456209659576,0.7382764220237732,0.027488837018609047,0.011277718469500542,0.0,0.9650049209594727
